"0","1"
"Tazarotene","Desquamation|Erythema|Burning Sensation|Dry Skin|Irritation Skin|Pruritus|Irritant Contact Dermatitis|Stinging|Rash|Cheilitis|Application site irritation|Application site dryness|Application site erythema|Application site exfoliation|Application site pain|Application site photosensitivity (including sunburn)|Application site pruritus|Application site dermatitis"
"Taztia Xt","edema, peripheral|dizziness|vasodilation|dyspepsia|pharyngitis|rash|infection|diarrhea|palpitations|nervousness"
"Tazverik","General|Paina|Fatigueb|Gastrointestinal|Nausea|Vomiting|Constipation|Diarrhea|Abdominal painc|Metabolism and nutrition|Decreased appetite|Respiratory, thoracic and mediastinal|Cough|Dyspnead|Vascular|Hemorrhagee|Nervous system|Headache|Investigations|Weight decreased"
"Tecfidera","Flushing|Abdominal pain|Diarrhea|Nausea|Vomiting|Pruritus|Rash|Albumin urine present|Erythema|Dyspepsia|Aspartate aminotransferase increased|Lymphopenia"
"Teflaro","Diarrhea|Nausea|Constipation|Vomiting|Increased transaminases|Hypokalemia|Rash|Phlebitis"
"Tegsedi","Injection site reactionsa|Nausea|Headache|Fatigue|Thrombocytopenia|Fever|Peripheral edema|Chills|Anemia|Vomiting|Myalgia|Decreased renal function|Arrhythmiab|Arthralgia|Pre-syncope or syncope|Decreased appetite|Paresthesia|Dyspnea|Elevated liver function test|Orthostasis|Influenza-like illness|Contusion|Bacterial infectionc|Eosinophilia|Dry mouth"
"Telmisartan","Upper respiratory tract infection|Back pain|Sinusitis|Diarrhea|Pharyngitis"
"Telmisartan And Amlodipine","Amlodipine"
"Telmisartan And Hydrochlorothiazide","Influenza-like symptoms|Central/Peripheral nervous system Dizziness|Gastrointestinal system Diarrhea|Nausea|Respiratory system disorder Sinusitis|Upper respiratory tract infection|Central/peripheral nervous system Dizziness"
"Telmisartan And Hydrochlorothiazide 40 Mg/12.5 Mg","Influenza-like symptoms|Central/peripheral nervous system Dizziness|Gastrointestinal system Diarrhea|Nausea|Sinusitis|Upper respiratory tract infection"
"Telmisartan And Hydrochlorthiazide","Influenza-like symptoms|Central/peripheral nervous system Dizziness|Gastrointestinal system Diarrhea|Nausea|Respiratory system disorder Sinusitis|Upper respiratory tract infection"
"Temazepam","Drowsiness|Headache|Fatigue|Nervousness|Lethargy|Dizziness|Nausea|Hangover|Anxiety|Depression|Dry Mouth|Diarrhea|Abdominal Discomfort|Euphoria|Weakness|Confusion|Blurred Vision|Nightmares|Vertigo"
"Tembexa","Diarrheaa|Nausea|Vomitingb|Abdominal painc"
"Temixys","Rash eventb|Headache|Pain|Diarrhea|Depression|Back pain|Nausea|Fever|Abdominal pain|Asthenia|Anxiety|Vomiting|Insomnia|Arthralgia|Pneumonia|Dyspepsia|Dizziness|Myalgia|Lipodystrophyc|Peripheral neuropathyd"
"Temodar","Alopecia|Rash|Dry Skin|Pruritus|Erythema|Fatigue|Anorexia|Headache|Weakness|Dizziness|Nausea|Vomiting|Constipation|Diarrhea|Stomatitis|Abdominal Pain|Vision Blurred|Radiation Injury NOS|Convulsions|Memory Impairment|Confusion|Taste Perversion|Coughing|Dyspnea|Insomnia|Allergic Reaction|Thrombocytopenia|Arthralgia"
"Temozolomide","Alopecia|Rash|Dry Skin|Pruritus|Erythema|Fatigue|Anorexia|Headache|Weakness|Dizziness|Nausea|Vomiting|Constipation|Diarrhea|Stomatitis|Abdominal Pain|Vision Blurred|Radiation Injury NOS|Convulsions|Memory Impairment|Confusion|Taste Perversion|Coughing|Dyspnea|Insomnia|Allergic Reaction|Thrombocytopenia|Arthralgia|Central and Peripheral Nervous System Disorders|Disorders of the Eye|Disorders of the Immune System|Gastrointestinal System Disorders|Injury and Poisoning|Musculoskeletal System Disorders|Platelet, Bleeding and Clotting Disorders|Psychiatric Disorders|Respiratory System Disorders|Skin and Subcutaneous Tissue Disorders|Special Senses Other, Disorders|Radiation InjuryNOS|MemoryImpairment"
"Temsirolimus","General disorders|Asthenia|Edema Includes edema, facial edema, and peripheral edema|Pain|Pyrexia|Weight Loss|Headache|Chest Pain|Chills|Gastrointestinal disorders|Mucositis Includes aphthous stomatitis, glossitis, mouth ulceration, mucositis, and stomatitis|Anorexia|Nausea|Diarrhea|Abdominal Pain|Constipation|Vomiting|Infections|Infections Includes infections not otherwise specified (NOS) and the following infections that occurred infrequently as distinct entities: abscess, bronchitis, cellulitis, herpes simplex, and herpes zoster|Urinary tract infection Includes cystitis, dysuria, hematuria, urinary frequency, and urinary tract infection|Pharyngitis|Rhinitis|Musculoskeletal and connective tissue disorders|Back Pain|Arthralgia|Myalgia|Respiratory, thoracic and mediastinal disorders|Dyspnea|Cough|Epistaxis|Skin and subcutaneous tissue disorders|Rash Includes eczema, exfoliative dermatitis, maculopapular rash, pruritic rash, pustular rash, rash (NOS), and vesiculobullous rash|Pruritus|Nail Disorder|Dry Skin|Acne|Nervous system disorders|Dysgeusia Includes taste loss and taste perversion|Insomnia|Depression|Asthenia Edemaa Pain Pyrexia Weight Loss Headache Chest Pain Chills|Mucositisb Anorexia Nausea Diarrhea Abdominal Pain Constipation Vomiting|Infectionsc Urinary tract infectiond Pharyngitis Rhinitis|Back Pain Arthralgia Myalgia|Dyspnea Cough Epistaxis|Rashe Pruritus Nail Disorder Dry Skin Acne|Dysgeusiaf Insomnia Depression|General disorders Asthenia Edemaa Pain Pyrexia Weight Loss Headache Chest Pain Chills|Gastrointestinal disorders Mucositisb Anorexia Nausea Diarrhea Abdominal Pain Constipation Vomiting|Infections Infectionsc Urinary tract infectiond Pharyngitis Rhinitis|Musculoskeletal and connective tissue disorders Back Pain Arthralgia Myalgia|Respiratory, thoracic and mediastinal disorders Dyspnea Cough Epistaxis|Skin and subcutaneous tissue disorders Rashe Pruritus Nail Disorder Dry Skin Acne|Nervous system disorders Dysgeusiaf Insomnia Depression"
"Tenofovir Disoproxil Fumarate","Rash event b|Headache|Pain|Diarrhea|Depression|Back pain|Nausea|Fever|Abdominal pain|Asthenia|Anxiety|Vomiting|Insomnia|Arthralgia|Pneumonia|Dyspepsia|Dizziness|Myalgia|Lipodystrophy c|Peripheral neuropathy d|Digestive System|Metabolic Disorders|Lipodystrophy b|Musculoskeletal|Nervous System|Peripheral neuropathy c|Respiratory|Skin and Appendages|Rash event d|Rash eventb|Lipodystrophyc|Peripheral neuropathyd|Rash event Rash event includes rash, pruritus, maculopapular rash, urticaria, vesiculobullous rash, and pustular rash.|Peripheral neuropathy Peripheral neuropathy includes peripheral neuritis and neuropathy.|Digestive System Diarrhea Nausea Dyspepsia Vomiting|Metabolic Disorders Lipodystrophy b|Musculoskeletal Arthralgia Myalgia|Nervous System Depression Insomnia Dizziness Peripheral neuropathy c Anxiety|Respiratory Pneumonia|Skin and Appendages Rash event d|Metabolic Disorders Lipodystrophyb|Nervous System Depression Insomnia Dizziness Peripheral neuropathyc Anxiety|Skin and Appendages Rash eventd"
"Tenofovir Disproxil Fumarate","Rash eventb|Headache|Pain|Diarrhea|Depression|Back pain|Nausea|Fever|Abdominal pain|Asthenia|Anxiety|Vomiting|Insomnia|Arthralgia|Pneumonia|Dyspepsia|Dizziness|Myalgia|Lipodystrophyc|Peripheral neuropathyd"
"Tenoretic","CARDIOVASCULAR|Bradycardia|Cold Extremities|Postural Hypotension|Leg Pain|CENTRAL NERVOUS SYSTEM/NEUROMUSCULAR|Dizziness|Vertigo|Light-Headedness|Tiredness|Fatigue|Lethargy|Drowsiness|Depression|Dreaming|GASTROINTESTINAL|Diarrhea|Nausea|RESPIRATORY (see WARNINGS)|Wheeziness|Dyspnea"
"Tenormin","CARDIOVASCULAR|Bradycardia|Cold Extremities|Postural Hypotension|Leg Pain|CENTRAL NERVOUS SYSTEM/NEUROMUSCULAR|Dizziness|Vertigo|Light-headedness|Tiredness|Fatigue|Lethargy|Drowsiness|Depression|Dreaming|GASTROINTESTINAL|Diarrhea|Nausea|RESPIRATORY (See WARNINGS)|Wheeziness|Dyspnea"
"Tepadina","Mucositis2|Cytomegalovirus Infection|Hemorrhage3|Diarrhea|Hematuria4|Rash5|Intracranial Hemorrhage6|Pseudomonas Infection"
"Tepezza","Muscle spasms|Nausea|Alopecia|Diarrhea|FatigueFatigue includes asthenia|HyperglycemiaHyperglycemia includes blood glucose increase|Hearing impairmentHearing impairment (includes deafness, eustachian tube dysfunction, hyperacusis, hypoacusis and autophony)|Dysgeusia|Headache|Dry skin"
"Tepmetko","Edema Edema includes eye edema, face edema, generalized edema, localized edema, edema, genital edema, peripheral edema, peripheral swelling, periorbital edema, and scrotal edema.|Fatigue Fatigue includes asthenia and fatigue.|Nausea|Diarrhea|Abdominal Pain Abdominal Pain includes abdominal discomfort, abdominal pain, abdominal pain lower, abdominal pain upper, gastrointestinal pain, and hepatic pain.|Constipation|Vomiting Vomiting includes retching and vomiting.|Musculoskeletal Pain Musculoskeletal Pain includes arthralgia, arthritis, back pain, bone pain, musculoskeletal chest pain, musculoskeletal pain, myalgia, non-cardiac chest pain, pain in extremity, and spinal pain.|Dyspnea Dyspnea includes dyspnea, dyspnea at rest, and dyspnea exertional.|Cough Cough includes cough, and productive cough.|Pleural effusion|Decreased appetite|Pneumonia Pneumonia includes pneumonia, pneumonia aspiration, and pneumonia bacterial."
"Terazosin","CARDIOVASCULAR SYSTEM Hypotension Palpitations Postural Hypotension Syncope|DIGESTIVE SYSTEM Nausea|METABOLIC AND NUTRITIONAL DISORDERS Peripheral Edema Weight Gain|NERVOUS SYSTEM Dizziness Somnolence Vertigo|RESPIRATORY SYSTEM Dyspnea Nasal Congestion/Rhinitis|SPECIAL SENSES Blurred Vision/Amblyopia|UROGENITAL SYSTEM Impotence Urinary Tract Infection"
"Terazosin Hydrochloride","CARDIOVASCULAR SYSTEM Hypotension Palpitations Postural Hypotension Syncope|DIGESTIVE SYSTEM Nausea|METABOLIC AND NUTRITIONAL DISORDERS Peripheral Edema Weight Gain|NERVOUS SYSTEM Dizziness Somnolence Vertigo|RESPIRATORY SYSTEM Dyspnea Nasal Congestion/Rhinitis|SPECIAL SENSES Blurred Vision/Amblyopia|UROGENITAL SYSTEM Impotence Urinary Tract Infection|Includes weakness, tiredness, lassitude and fatigue.Asthenia|Flu Syndrome|Headache|Hypotension|Palpitations|Postural Hypotension|Syncope|Nausea|Peripheral Edema|Weight Gain|Dizziness|Somnolence|Vertigo|Dyspnea|Nasal Congestion/Rhinitis|Blurred Vision/Amblyopia|Impotence|Urinary Tract Infection|Includes weakness, tiredness, lassitude, and fatigue.Asthenia Flu Syndrome Headache|Hypotension Palpitations Postural Hypotension Syncope|Peripheral Edema Weight Gain|Dizziness Somnolence Vertigo|Dyspnea Nasal Congestion/Rhinitis|Impotence Urinary Tract Infection"
"Terbinafine","Headache|Gastrointestinal Symptoms:|Diarrhea|Dyspepsia|Abdominal Pain|Nausea|Flatulence|Dermatological Symptoms:|Rash|Pruritus|Urticaria|Liver Enzyme Abnormalities*|Taste Disturbance|Visual Disturbance|Gastrointestinal Symptoms: Diarrhea Dyspepsia Abdominal Pain Nausea Flatulence|Dermatological Symptoms: Rash Pruritus Urticaria|Pruritis"
"Terbinafine Hydrochloride","Headache|Gastrointestinal Symptoms:|Diarrhea|Dyspepsia|Abdominal Pain|Nausea|Flatulence|Dermatological Symptoms:|Rash|Pruritus|Urticaria|Liver Enzyme Abnormalities *|Taste Disturbance|Visual Disturbance|Liver Enzyme Abnormalities*|Liver Enzyme Abnormalities Liver enzyme abnormalities greater than or equal to 2Ã— the upper limit of normal range.|Liver Enzyme AbnormalitiesLiver enzyme abnormalities greater than or equal to 2Ã— the upper limit of normal range.|Liver Enzyme Abnormalities Liver enzyme abnormalities â‰¥ 2Ã— the upper limit of normal range.|Gastrointestinal|Symptoms:|Dermatological|Liver Enzyme|Abnormalities*|Liver Enzyme Abnormalities Liver enzyme abnormalities greater than or equal to 2x the upper limit of normal range."
"Terbutaline Sulfate","Reaction|Nervousness|Tremor|Somnolence|Dizziness|Anxiety|Insomnia|Palpitations|Tachycardia|Extrasystoles ventricular|Vasodilations|Nausea|Dry Mouth|Headache|Asthenia|Sweating|Drowsiness|Cardiovascular|Respiratory|Dyspnea|Chest discomfort|Gastrointestinal|Nausea/vomiting|Systemic|Weakness|Flushed feeling|Pain at injection site|Dry mouth|Central Nervous System|Chest Discomfort|Nausea/Vomiting|Flushed Feeling|Pain at Injection Site|Reaction Central Nervous System"
"Teriflunomide","Headache|Increase in Alanine aminotransferase|Diarrhea|Alopecia|Nausea|Paresthesia|Arthralgia|Neutropenia|Hypertension"
"Teriparatide","Pain|Headache|Asthenia|Neck pain|Cardiovascular|Hypertension|Angina pectoris|Syncope|Digestive System|Nausea|Constipation|Diarrhea|Dyspepsia|Vomiting|Gastrointestinal disorder|Tooth disorder|Musculoskeletal|Arthralgia|Leg cramps|Nervous System|Dizziness|Depression|Insomnia|Vertigo|Respiratory System|Rhinitis|Cough increased|Pharyngitis|Dyspnea|Pneumonia|Skin and Appendages|Rash|Sweating"
"Testim","Event|Application Site Reactions|Blood Pressure Increased|Gynecomastia|Headache|Hematocrit/hemoglobin Increased|Hot Flushes|Insomnia|Mood Swings|Smell Disorder|Spontaneous Penile Erection|Taste Disorder"
"Testosterone","PSA increased*|Emotional lability**|Hypertension|Hematocrit or hemoglobin increased|Contact dermatitis***|Event|Application Site Irritation|Application Site Erythema|Headache|Hematocrit Increased|Diarrhea|Vomiting|PSA Increased|Acne|Alopecia|Application Site Reaction|Asthenia|Depression|Emotional Lability|Gynecomastia|Lab Test Abnormal*|Libido Decreased|Nervousness|Pain Breast|Prostate Disorder**|Testis Disorder***|Application Site Reactions|Blood Pressure Increased|Hematocrit / hemoglobin Increased|Hot Flushes|Insomnia|Mood Swings|Smell Disorder|Spontaneous Penile Erection|Taste Disorder|Hematocrit/Hemoglobin Increased|Skin reaction|Prostatic specific antigen increased|Abnormal dreams"
"Testosterone Gel, 1%","Acne|Alopecia|Application Site Reaction|Asthenia|Depression|Emotional Lability|Gynecomastia|Headache|Hypertension|Lab Test Abnormal*|Libido Decreased|Nervousness|Pain Breast|Prostate Disorder**|Testis Disorder***"
"Tetrabenazine","Sedation/somnolence|Insomnia|Fatigue|Depression|Akathisia|Anxiety/anxiety aggravated|Fall|Nausea|Upper respiratory tract infection|Irritability|Balance difficulty|Parkinsonism/bradykinesia|Vomiting|Laceration (head)|Ecchymosis|Decreased appetite|Obsessive reaction|Dizziness|Dysarthria|Unsteady gait|Headache|Shortness of breath|Bronchitis|Dysuria"
"Tezspire","PharyngitisPharyngitis (including Pharyngitis, Pharyngitis bacterial, Pharyngitis streptococcal and Viral pharyngitis)|Arthralgia|Back pain"
"Thalomid","Metabolic/Laboratory|Hypocalcemia|Neurology|Neuropathy-sensory|Confusion|Anxiety/agitation|Tremor|Neuropathy-motor|Dizziness/ lightheadedness|Depressed level of consciousness|Constitutional Symptoms|Fatigue|Fever|Weight loss|Weight gain|Blood/Bone Marrow|Leukocytes (decreased)|Neutrophils (decreased)|Gastrointestinal|Constipation|Anorexia|Nausea|Mouth dryness|Cardiovascular|Edema|Thrombosis/embolism|Pain|Myalgia|Arthralgia|Pulmonary|Dyspnea|Dermatology/Skin|Rash/desquamation|Dry skin|Hepatic|Bilirubin|Musculoskeletal|Muscle weakness"
"Theophylline","Gastrointestinal|Vomiting|Abdominal Pain|Diarrhea|Hematemesis|Metabolic / Other|Hypokalemia|Hyperglycemia|Acid/base disturbance|Rhabdomyolysis|Cardiovascular|Sinus tachycardia|Other supraventricular tachycardias|Ventricular premature beats|Atrial fibrillation or flutter|Multifocal atrial tachycardia|Ventricular arrhythmias with hemodynamic instability|Hypotension/shock|Neurologic|Nervousness|Tremors|Disorientation|Seizures|Death|Sign / Symptom|Other Supraventricular Tachycardias|Ventricular arrhythmias hemodynamic instability|Sign/Symptom|Metabolic/Other|Ventricular arrhythmiaswith hemodynamic instability|Gastrointestinal Vomiting Abdominal Pain Diarrhea Hematemesis|Metabolic/Other Hypokalemia Hyperglycemia Acid/base disturbance Rhabdomyolysis|Cardiovascular Sinus tachycardia Other supraventricular tachycardias Ventricular premature beats Atrial fibrillation or flutter Multifocal atrial tachycardia Ventricular arrhythmias with hemodynamic instability Hypotension/shock|Neurologic Nervousness Tremors Disorientation Seizures"
"Theophylline (anhydrous)","Sign/Symptom|Gastrointestinal|Vomiting|Abdominal Pain|Diarrhea|Hematemesis|Metabolic/Other|Hypokalemia|Hyperglycemia|Acid/base disturbance|Rhabdomyolysis|Cardiovascular|Sinus tachycardia|Other supraventricular tachycardias|Ventricular premature beats|Atrial fibrillation or flutter|Multifocal atrial tachycardia|Ventricular arrhythmias with hemodynamic instability|Hypotension/shock|Neurologic|Nervousness|Tremors|Disorientation|Seizures|Death"
"Theophylline Anhydrous","Gastrointestinal|Vomiting|Abdominal Pain|Diarrhea|Hematemesis|Metabolic/Other|Hypokalemia|Hyperglycemia|Acid/base disturbance|Rhabdomyolysis|Cardiovascular|Sinus tachycardia|Other supraventricular tachycardias|Ventricular premature beats|Atrial fibrillation or flutter|Multifocal atrial tachycardia|Ventricular arrhythmias with hemodynamic instability|Hypotension/shock|Neurologic|Nervousness|Tremors|Disorientation|Seizures|Death"
"Thymoglobulin","Urinary tract infection|Pyrexia (fever)|Headache|Hyperlipidemia (high lipids in blood)|Anxiety|Chills|Hyperkalemia (high potassium)|Leukopenia (low white blood cell count)|Thrombocytopenia (low platelet count)"
"Thyrogen","Nausea|Headache|Fatigue|Vomiting|Dizziness|Asthenia"
"Tiadylt Er","edema, peripheral|dizziness|vasodilation|dyspepsia|pharyngitis|rash|infection|diarrhea|palpitations|nervousness|headache|pain|asthenia|dyspnea|bronchitis|AV block|flu syndrome|cough increase|extrasystoles|gout|myalgia|impotence|conjunctivitis|abdominal enlargement"
"Tiagabine Hydrochloride","Abdominal Pain|Pain (unspecified)|Cardiovascular|Vasodilation|Digestive|Nausea|Diarrhea|Vomiting|Increased Appetite|Mouth Ulceration|Musculoskeletal|Myasthenia|Nervous System|Dizziness|Asthenia|Somnolence|Nervousness|Tremor|Difficulty with Concentration/AttentionCOSTART term substituted with a more clinically descriptive term.|Insomnia|Ataxia|Confusion|Speech Disorder|Difficulty with Memory|Paresthesia|Depression|Emotional Lability|Abnormal Gait|Hostility|Nystagmus|Language Problems|Agitation|Respiratory System|Pharyngitis|Cough Increased|Skin and Appendages|Rash|Pruritus|Pain (Unspecified)|Difficulty with Concentration/Attention*|Difficulty with Memory*|Language Problems*"
"Tiazac Extended Release","edema, peripheral|dizziness|vasodilation|dyspepsia|pharyngitis|rash|infection|diarrhea|palpitations|nervousness"
"Tibsovo","Gastrointestinal disorders|Nausea|VomitingGrouped term includes vomiting and retching.|Investigations|Electrocardiogram QT prolonged|Insomnia|Differentiation SyndromeDifferentiation syndrome can be associated with other commonly reported events such as peripheral edema, leukocytosis, pyrexia, dyspnea, pleural effusion, hypotension, hypoxia, pulmonary edema, pneumonia, pericardial effusion, rash, fluid overload, tumor lysis syndrome, and creatinine increased.|LeukocytosisGrouped term includes leukocytosis, white blood cell count increased.|HematomaGrouped term includes hematoma, eye hematoma, catheter site hematoma, oral mucosa hematoma, spontaneous hematoma, application site hematoma, injection site hematoma, periorbital hematoma.|HypertensionGrouped term includes blood pressure increased, essential hypertension, and hypertension.|ArthralgiaGrouped term includes pain in extremity, arthralgia, back pain, musculoskeletal stiffness, cancer pain, and neck pain.|DyspneaGrouped term includes dyspnea, dyspnea exertional, hypoxia, respiration failure.|Headache|Leukocytosis1|Differentiation Syndrome2|Diarrhea|Abdominal pain3|Constipation|Vomiting|Mucositis4|Dyspepsia|Fatigue5|Edema6|Weight decreased|Decreased appetite|Arthralgia7|Myalgia8|Dizziness|Neuropathy9|Dyspnea10|Cough11|Pruritis|Rash12"
"Ticagrelor","PLATO Major + Minor|Major|Fatal/Life-threatening|Fatal|Intracranial hemorrhage (Fatal/Life-threatening)"
"Tice Bcg","Dysuria|Urinary frequency|Flu-like syndrome|Hematuria|Fever|Malaise/fatigue|Cystitis|Urgency|Nocturia|Cramps/pain|Rigors|Nausea/vomiting"
"Tigecycline","Abdominal pain|Abscess|Asthenia|Headache|Infection|Cardiovascular System|Phlebitis|Digestive System|Diarrhea|Dyspepsia|Nausea|Vomiting|Hemic and Lymphatic System|Anemia|Metabolic and Nutritional|Alkaline Phosphatase Increased|Amylase Increased|Bilirubinemia|BUN Increased|Healing Abnormal|Hyponatremia|Hypoproteinemia|SGOT Increased b|SGPT Increased b|Respiratory System|Pneumonia|Nervous System|Dizziness|Skin and Appendages|Rash|SGOT IncreasedLFT abnormalities in Tigecycline-treated patients were reported more frequently in the post therapy period than those in comparator-treated patients, which occurred more often on therapy.|SGPT Increased|SGOT Increasedb|SGPT Increasedb|SGOT IncreasedLFT abnormalities in tigecycline-treated patients were reported more frequently in the post therapy period than those in comparator-treated patients, which occurred more often on therapy."
"Tiglutik","Asthenia|Nausea|Decreased lung function|Hypertension|Abdominal pain|Vomiting|Arthralgia|Dizziness|Dry mouth|Insomnia|Pruritus|Tachycardia|Flatulence|Increased cough|Peripheral edema|Urinary Tract Infection|Circumoral paresthesia|Somnolence|Vertigo|Eczema"
"Tikosyn","Ventricular arrhythmiasPatients with more than one arrhythmia are counted only once in this category. Ventricular arrhythmias and ventricular tachycardia include all cases of Torsade de Pointes.|Ventricular fibrillation|Ventricular tachycardia|Torsade de Pointes|Various forms of block|AV block|Bundle branch block|Heart block"
"Timolol Maleate","fatigue/tiredness|headache|chest pain|asthenia|CARDIOVASCULAR|bradycardia|arrhythmia|syncope|edema|DIGESTIVE|dyspepsia|nausea|SKIN|pruritus|NERVOUS SYSTEM|dizziness|vertigo|paresthesia|PSYCHIATRIC|decreased libido|RESPIRATORY|dyspnea|bronchial spasm|rales|SPECIAL SENSES|eye irritation|tinnitus"
"Tindamax","GI: Metallic/bitter taste|Nausea|Anorexia|Dyspepsia/cramps/epigastric discomfort|Vomiting|Constipation|CNS: Weakness/fatigue/malaise|Dizziness|Other: Headache"
"Tindazole","GI: Metallic/bitter taste|Nausea|Anorexia|Dyspepsia/cramps/epigastric discomfort|Vomiting|Constipation|CNS: Weakness/fatigue/malaise|Dizziness|Other: Headache"
"Tinidazole","GI: Metallic/bitter taste|Nausea|Anorexia|Dyspepsia/cramps/epigastric discomfort|Vomiting|Constipation|CNS: Weakness/fatigue/malaise|Dizziness|Other: Headache|GI: Metallic/Bitter Taste|Dyspepsia/Cramps/Epigastric Discomfort|CNS: Weakness/Fatigue/Malaise"
"Tirofiban Hydrochloride","Bleeding (TIMI Criteria)â€¡ Â§|Major Bleeding|Minor Bleeding|Transfusions"
"Tivdak","General|Fatigue1|Pyrexia|Pruritis|Gastrointestinal disorders|Nausea2|Diarrhea3|Constipation|Abdominal Pain4|Vomiting|Nervous system disorders|Peripheral Neuropathy5|Skin and subcutaneous tissue disorders|Alopecia|Rash6|Vascular disorders|Epistaxis|Hemorrhage7|Eye disorders|Dry eye9|Musculoskeletal and connective tissue disorders|Myalgia12|Arthralgia|Pain in extremity13|Metabolism and nutrition disorders|Decreased appetite|Infections|Urinary tract infection14|Investigations|Weight decreased"
"Tivicay","Psychiatric|Insomnia|Depression|Abnormal dreams|Nervous System|Dizziness|Headache|Gastrointestinal|Nausea|Diarrhea|Skin and Subcutaneous Tissue|Rasha|General Disorders|Fatigue|Ear and Labyrinth|Vertigo"
"Tivorbex","Any Treatment Emergent AE|Nausea|Post procedural edema|Headache|Dizziness|Vomiting|Post procedural hemorrhage|Constipation|Pruritus|Diarrhea|Dyspepsia|Post procedural swelling|Presyncope|Rash|Abdominal pain, upper|Somnolence|Pruritus generalized|Hyperhidrosis|Decreased appetite|Hot flush|Syncope"
"Tizanidine","Event|Dry mouth|Somnolence|Asthenia*|Dizziness|UTI|Infection|Constipation|Liver test abnormality|Vomiting|Speech disorder|Amblyopia (blurred vision)|Urinary frequency|Flu syndrome|Dyskinesia|Nervousness|Pharyngitis|Rhinitis|Flu symptom|Dry Mouth|Liver function tests abnormal|SGPT/ALT increased|Asthenia(weakness, fatigue, and/or tiredness)|Asthenia (weakness, fatigue, and/or tiredness)"
"Tizanidine Hcl","Event|Dry mouth|Somnolence|Asthenia*|Dizziness|UTI|Infection|Constipation|Liver test abnormality|Vomiting|Speech disorder|Amblyopia (blurred vision)|Urinary frequency|Flu symptom|Dyskinesia|Nervousness|Pharyngitis|Rhinitis|Flu syndrome"
"Tizanidine Hydrochloride","Dry mouth|Somnolence|Asthenia(weakness, fatigue, and/or tiredness)|Dizziness|UTI|Infection|Constipation|Liver test abnormality|Vomiting|Speech disorder|Amblyopia (blurred vision)|Urinary frequency|Flu syndrome|Dyskinesia|Nervousness|Pharyngitis|Rhinitis|Event|Asthenia*|Asthenia (weakness, fatigue, and/or tiredness)"
"Tizanidne Hydrochloride","Event|Dry mouth|Somnolence|Asthenia*|Dizziness|UTI|Infection|Constipation|Liver test abnormality|Vomiting|Speech disorder|Amblyopia (blurred vision)|Urinary frequency|Flu syndrome|Dyskinesia|Nervousness|Pharyngitis|Rhinitis"
"Tnkase","Major bleedingMajor bleeding is defined as bleeding requiring blood transfusion or leading to hemodynamic compromise.|Minor bleeding|Units of transfused blood|Any"
"Tobi","Cough Increased|Pharyngitis|Sputum Increased|Dyspnea|Hemoptysis|Lung Function DecreasedIncludes reported decreases in pulmonary function tests or decreased lung volume on chest radiograph associated with intercurrent illness or study drug administration.|Voice Alteration|Taste Perversion|Rash"
"Tobi Podhaler","Respiratory, thoracic, and mediastinal disorders|Cough|Productive cough|Dyspnea|Oropharyngeal pain|Dysphonia|Hemoptysis|Nasal congestion|Rales|Wheezing|Chest discomfort|Throat irritation|Gastrointestinal disorders|Nausea|Vomiting|Diarrhea|Dysgeusia|Infections and infestations|Upper respiratory tract infection|Investigations|Pulmonary function test decreased|Forced expiratory volume decreased|Blood glucose increased|Vascular disorders|Epistaxis|Nervous system disorders|Headache|General disorders and administration site conditions|Pyrexia|Musculoskeletal and connective tissue disorders|Musculoskeletal chest pain|Skin and subcutaneous tissue disorders|Rash"
"Tobramycin","Cough Increased|Pharyngitis|Sputum Increased|Dyspnea|Hemoptysis|Lung Function Decreased1|Voice Alteration|Taste Perversion|Rash|Cough Increased Pharyngitis Sputum Increased Dyspnea Hemoptysis Lung Function Decreased1 Voice Alteration Taste Perversion Rash|Forced expiratory volume decreased|Rales|Red blood cell sedimentation rate increased|Dysphonia|Wheezing|Epistaxis|Pharyngolaryngeal pain|Bronchitis|Tonsillitis|Diarrhea|Eosinophilia|Immunoglobulins increased"
"Tobramycin Inhalation","Forced expiratory volume decreased|Rales|Red blood cell sedimentation rate increased|Dysphonia|Wheezing|Epistaxis|Pharyngolaryngeal pain|Bronchitis|Tonsillitis|Diarrhea|Eosinophilia|Immunoglobulins increased"
"Tobramycin Inhalation Solution","Cough Increased|Pharyngitis|Sputum Increased|Dyspnea|Hemoptysis|Lung Function Decreased1|Voice Alteration|Taste Perversion|Rash"
"Tobramycin Inhalation Solution Pak","Cough Increased|Pharyngitis|Sputum Increased|Dyspnea|Hemoptysis|Lung Function Decrease1|Voice Alteration|Taste Perversion|Rash"
"Tolak","Erythema|Scaling/ Dryness|Crusting|Pruritus|Stinging/ Burning|Edema|Erosions"
